NANDO:2200685	KNG1
NANDO:2200684	KLKB1
NANDO:2200687	SERPINF2
NANDO:2201357	EBP
NANDO:2200681	F13A1
NANDO:2200681	F13B
NANDO:2200680	F12
NANDO:2200689	PROC
NANDO:2200688	SERPINE1
NANDO:1200624	SUMF1
NANDO:2200762	IRAK4
NANDO:2200763	MYD88
NANDO:2200449	NLRP12
NANDO:2200449	NLRP3
NANDO:2200761	IKBKG
NANDO:2200761	NFKBIA
NANDO:2200766	RBCK1
NANDO:2200767	CXCR4
NANDO:2200764	CLEC7A
NANDO:2200764	IL17F
NANDO:2200764	IL17RA
NANDO:2200764	IL17RC
NANDO:2200764	TRAF3IP2
NANDO:2201214	GLA
NANDO:2200443	CARD14
NANDO:2201189	MAN2B1
NANDO:2200768	CIB1
NANDO:2200768	IL7
NANDO:2200768	TMC6
NANDO:2200768	TMC8
NANDO:2200447	IL10RA
NANDO:2200446	IL10
NANDO:2200446	IL10RA
NANDO:2200446	IL10RB
NANDO:2200363	SCNN1G
NANDO:1200789	TAT
NANDO:1200788	FAH
NANDO:1200427	BMPR2
NANDO:1200427	EIF2AK4
NANDO:1200425	BMPR2
NANDO:2200668	GP1BA
NANDO:1200782	CYP27B1
NANDO:1200782	CYP2R1
NANDO:2201376	PLEC
NANDO:1200787	PAH
NANDO:1200785	PAH
NANDO:1200784	PAH
NANDO:1200008	SPG7
NANDO:2200049	EXT1
NANDO:2200049	EXT2
NANDO:2200049	IDH1
NANDO:2200049	IDH2
NANDO:2200049	PTH1R
NANDO:2200047	APC
NANDO:2200047	AXIN1
NANDO:2200047	CASP8
NANDO:2200047	CTNNB1
NANDO:2200047	IGF2R
NANDO:2200047	MET
NANDO:2200047	PDGFRL
NANDO:2200047	PIK3CA
NANDO:2200047	TP53
NANDO:2200044	BCOR
NANDO:2200044	IRX2
NANDO:2200044	NUTM2B
NANDO:2200044	NUTM2E
NANDO:2200044	YWHAE
NANDO:2200043	BRCA2
NANDO:2200043	DIS3L2
NANDO:2200043	GPC3
NANDO:2200043	H19
NANDO:2200043	POU6F2
NANDO:2200043	REST
NANDO:2200043	TRIM28
NANDO:2200043	TRIP13
NANDO:2200043	WT1
NANDO:2200042	RB1
NANDO:1200190	PRNP
NANDO:2200040	ALK
NANDO:2200040	HACE1
NANDO:2200040	LIN28B
NANDO:2200040	LMO1
NANDO:2200040	MYCN
NANDO:2200040	PHOX2B
NANDO:2200040	TOP2A
NANDO:1200365	SERPING1
NANDO:1200082	PSAP
NANDO:1200922	CFTR
NANDO:1200922	CLCA4
NANDO:1200922	DCTN4
NANDO:1200922	FCGR2A
NANDO:1200922	STX1A
NANDO:1200922	TGFB1
NANDO:1200921	CASR
NANDO:1200921	CFTR
NANDO:1200921	CPA1
NANDO:1200921	CTRC
NANDO:1200921	PRSS1
NANDO:1200921	PRSS2
NANDO:1200921	SPINK1
NANDO:2201305	FGFR1
NANDO:2201305	FREM1
NANDO:2200908	SI
NANDO:2200909	SLC5A1
NANDO:1200841	SLC37A4
NANDO:2200617	TF
NANDO:2200614	ADA2
NANDO:2200614	GATA1
NANDO:2200614	RPL11
NANDO:2200614	RPL15
NANDO:2200614	RPL18
NANDO:2200614	RPL26
NANDO:2200614	RPL27
NANDO:2200614	RPL31
NANDO:2200614	RPL35
NANDO:2200614	RPL35A
NANDO:2200614	RPL5
NANDO:2200614	RPS10
NANDO:2200614	RPS15A
NANDO:2200614	RPS17
NANDO:2200614	RPS19
NANDO:2200614	RPS24
NANDO:2200614	RPS26
NANDO:2200614	RPS27
NANDO:2200614	RPS28
NANDO:2200614	RPS29
NANDO:2200614	RPS7
NANDO:2200614	TSR2
NANDO:2200901	ADORA2A
NANDO:2200210	GATA6
NANDO:2200210	ZFPM2
NANDO:2200905	PMP22
NANDO:1200251	HLA-B
NANDO:1200251	IL12B
NANDO:1200251	MLX
NANDO:1200531	PRRT2
NANDO:1200531	SLC2A1
NANDO:1200253	HLA-B
NANDO:1200253	IL12B
NANDO:1200253	MLX
NANDO:1200252	HLA-B
NANDO:1200252	IL12B
NANDO:1200252	MLX
NANDO:1200255	HLA-B
NANDO:1200255	IL12B
NANDO:1200255	MLX
NANDO:1200254	HLA-B
NANDO:1200254	IL12B
NANDO:1200254	MLX
NANDO:1200257	HLA-B
NANDO:1200257	IL12B
NANDO:1200257	MLX
NANDO:1200256	HLA-B
NANDO:1200256	IL12B
NANDO:1200256	MLX
NANDO:1200556	GFAP
NANDO:2201202	ARSA
NANDO:2201202	PSAP
NANDO:1200554	GFAP
NANDO:1200555	GFAP
NANDO:1200552	ADORA2A
NANDO:2201067	NLRP3
NANDO:1200550	CHMP2B
NANDO:1200550	GRN
NANDO:1200550	MAPT
NANDO:1200550	PSEN1
NANDO:1200550	TMEM106B
NANDO:1200550	TREM2
NANDO:2201065	HLA-B
NANDO:2201065	IL12B
NANDO:2201065	MLX
NANDO:1200996	ADAR
NANDO:1200996	IFIH1
NANDO:1200996	RNASEH2A
NANDO:1200996	RNASEH2B
NANDO:1200996	RNASEH2C
NANDO:1200996	SAMHD1
NANDO:1200996	TREX1
NANDO:2201342	LAMA3
NANDO:2201342	LAMB3
NANDO:2201342	LAMC2
NANDO:1200994	NLRC4
NANDO:2200448	IL10RB
NANDO:2201347	COL2A1
NANDO:2201346	BMPR1B
NANDO:2201346	COL2A1
NANDO:2201346	GDF5
NANDO:1200859	AGPAT2
NANDO:1200859	BSCL2
NANDO:1200859	CAV1
NANDO:1200859	CAVIN1
NANDO:1200859	FOS
NANDO:1200859	PPARG
NANDO:1200991	TAFAZZIN
NANDO:1200857	MTTP
NANDO:1200856	CYP27A1
NANDO:2201349	COL2A1
NANDO:1200854	ABCA1
NANDO:1200853	ABCG5
NANDO:1200853	ABCG8
NANDO:1200852	LCAT
NANDO:1200851	GALT
NANDO:1200850	GBE1
NANDO:2200686	LMAN1
NANDO:2200686	MCFD2
NANDO:1200338	SPINK5
NANDO:1200339	ARVCF
NANDO:1200339	COMT
NANDO:1200339	DGCR2
NANDO:1200339	DGCR6
NANDO:1200339	DGCR8
NANDO:1200339	ESS2
NANDO:1200339	GP1BB
NANDO:1200339	HIRA
NANDO:1200339	JMJD1C
NANDO:1200339	RREB1
NANDO:1200339	SEC24C
NANDO:1200339	TBX1
NANDO:1200339	UFD1
NANDO:2201235	CTNS
NANDO:2200840	FMR1
NANDO:2200442	PLCG2
NANDO:1200332	NBN
NANDO:1200333	BLM
NANDO:2200455	PLCG2
NANDO:1200331	ATM
NANDO:1200336	RNF168
NANDO:1200337	SMARCAL1
NANDO:1200334	CDCA7
NANDO:1200334	DNMT3B
NANDO:1200334	HELLS
NANDO:1200334	ZBTB24
NANDO:2200837	HEPACAM
NANDO:2200837	MLC1
NANDO:2200834	ASPA
NANDO:2200835	GFAP
NANDO:2201282	NCF2
NANDO:2200833	LMNA
NANDO:2200833	ZMPSTE24
NANDO:2201280	CYBA
NANDO:2201281	NCF1
NANDO:2200838	EIF2B1
NANDO:2200838	EIF2B2
NANDO:2200838	EIF2B3
NANDO:2200838	EIF2B4
NANDO:2200838	EIF2B5
NANDO:2200839	ATRX
NANDO:2201117	IVD
NANDO:1201009	CTLA4
NANDO:1201009	HLA-DPA1
NANDO:1201009	HLA-DPB1
NANDO:1201009	PRTN3
NANDO:1201009	PTPN22
NANDO:1201008	CTLA4
NANDO:1201008	HLA-DPA1
NANDO:1201008	HLA-DPB1
NANDO:1201008	PRTN3
NANDO:1201008	PTPN22
NANDO:1200059	GBA
NANDO:2201110	LMBRD1
NANDO:2201111	MTR
NANDO:2201299	GATM
NANDO:1201000	FOXE3
NANDO:1201007	LMNA
NANDO:1201007	ZMPSTE24
NANDO:1201006	TACSTD2
NANDO:2201118	IVD
NANDO:2201119	HMGCL
NANDO:2200533	GALK1
NANDO:2200532	GALT
NANDO:2200531	ALDOB
NANDO:1200779	PHEX
NANDO:2200537	GYS2
NANDO:2200536	PCK1
NANDO:2200536	PCK2
NANDO:2200535	FBP1
NANDO:2200534	GALE
NANDO:1200772	AGPS
NANDO:1200773	AGXT
NANDO:2200539	AGL
NANDO:1200771	GNPAT
NANDO:1200774	CAT
NANDO:1200149	SLC17A5
NANDO:1200672	KDM6A
NANDO:1200672	KMT2D
NANDO:1200671	RECQL4
NANDO:1200670	ARID1A
NANDO:1200670	ARID1B
NANDO:1200670	ARID2
NANDO:1200670	DPF2
NANDO:1200670	SMARCA4
NANDO:1200670	SMARCB1
NANDO:1200670	SMARCC2
NANDO:1200670	SMARCD1
NANDO:1200670	SMARCE1
NANDO:1200670	SOX11
NANDO:1200670	SOX4
NANDO:1200676	WRN
NANDO:1200675	EYA1
NANDO:1200675	SIX1
NANDO:1200675	SIX5
NANDO:1200679	APC2
NANDO:1200679	NSD1
NANDO:1200679	SETD2
NANDO:1200678	HERC2
NANDO:1200678	IPW
NANDO:1200678	MAGEL2
NANDO:1200678	MKRN3
NANDO:1200678	MKRN3-AS1
NANDO:1200678	NDN
NANDO:1200678	NPAP1
NANDO:1200678	PWAR1
NANDO:1200678	PWRN1
NANDO:1200678	SNORD115-1
NANDO:1200678	SNORD116-1
NANDO:1200678	SNRPN
NANDO:1200145	LAMP2
NANDO:1200144	LIPA
NANDO:1200147	SLC17A5
NANDO:2200202	SLC34A2
NANDO:1200021	CHRNE
NANDO:2200823	PIK3CA
NANDO:1200382	AXL
NANDO:1200382	CCDC141
NANDO:1200382	DUSP6
NANDO:1200382	FEZF1
NANDO:1200382	FGF17
NANDO:1200382	FGFR1
NANDO:1200382	GNRH1
NANDO:1200382	GNRHR
NANDO:1200382	SEMA3E
NANDO:1200382	SPRY4
NANDO:1200382	SRA1
NANDO:1200382	WDR11
NANDO:2201085	NAGS
NANDO:1200783	VDR
NANDO:2201238	SLC17A5
NANDO:2200348	GNAS
NANDO:2200221	CALM1
NANDO:2200221	CALM2
NANDO:2200221	CALM3
NANDO:2200221	CASQ2
NANDO:2200221	RYR2
NANDO:2200221	TECRL
NANDO:2200221	TRDN
NANDO:2200883	ATP1A2
NANDO:2200883	ATP1A3
NANDO:2200883	CACNA1A
NANDO:2200883	SLC1A3
NANDO:2201232	LIPA
NANDO:2200346	AIRE
NANDO:2200880	CSTB
NANDO:2200880	PRICKLE1
NANDO:2200880	SCARB2
NANDO:2200887	PLA2G6
NANDO:2201236	CTNS
NANDO:2200229	ACTC1
NANDO:2200229	MYH7
NANDO:2200229	MYL3
NANDO:2200229	PRKAG2
NANDO:2200229	TNNI3
NANDO:2200229	TNNT2
NANDO:2200229	TPM1
NANDO:2201234	CTNS
NANDO:2200014	ARHGAP26
NANDO:2200014	ASXL1
NANDO:2200014	CBL
NANDO:2200014	ETV6
NANDO:2200014	KRAS
NANDO:2200014	NF1
NANDO:2200014	NRAS
NANDO:2200014	PDGFRB
NANDO:2200014	PTPN11
NANDO:2200014	RRAS
NANDO:2200014	SRSF2
NANDO:2200015	ARHGAP26
NANDO:2200015	CBL
NANDO:2200015	KRAS
NANDO:2200015	NF1
NANDO:2200015	NRAS
NANDO:2200015	PTPN11
NANDO:2200015	RRAS
NANDO:2200017	KMT2A
NANDO:2200895	RNASEH2C
NANDO:2200013	ABL1
NANDO:2200013	BCR
NANDO:2200013	RUNX1
NANDO:1200581	HSPD1
NANDO:2200154	DZIP1L
NANDO:2200154	PKHD1
NANDO:2200405	CDKN1A
NANDO:2200405	CDKN1B
NANDO:2200405	CDKN2B
NANDO:2200405	CDKN2C
NANDO:2200405	MEN1
NANDO:2200435	PSMB8
NANDO:2200018	FLT3
NANDO:2200018	KMT2A
NANDO:2200019	ASXL1
NANDO:2200019	GATA2
NANDO:2200019	GNB1
NANDO:2200019	MECOM
NANDO:2200019	SF3B1
NANDO:2200019	TET2
NANDO:2200153	BICC1
NANDO:2200153	GANAB
NANDO:2200153	PKD1
NANDO:2200153	PKD2
NANDO:1200586	SOX10
NANDO:1200095	IDUA
NANDO:1200217	DYSF
NANDO:2201228	SUMF1
NANDO:2200831	WRN
NANDO:1200515	TUBB4A
NANDO:2200230	DSG2
NANDO:2200230	JUP
NANDO:2200230	PKP2
NANDO:1200099	IDS
NANDO:2200080	DICER1
NANDO:2200086	IDH2
NANDO:2200120	LAGE3
NANDO:2200120	NUP107
NANDO:2200120	NUP133
NANDO:2200120	OSGEP
NANDO:2200120	TP53RK
NANDO:2200120	TPRKB
NANDO:2200120	WDR4
NANDO:2200120	WDR73
NANDO:1200092	ASAH1
NANDO:1200091	ASAH1
NANDO:1200090	ASAH1
NANDO:1200097	IDS
NANDO:1200096	IDUA
NANDO:2200126	COL4A5
NANDO:1200094	IDUA
NANDO:1200804	OTC
NANDO:1200805	ASS1
NANDO:1200806	ASL
NANDO:1200807	ARG1
NANDO:1200800	GCDH
NANDO:1200801	ETFA
NANDO:1200801	ETFB
NANDO:1200801	ETFDH
NANDO:1200803	CPS1
NANDO:1200808	NAGS
NANDO:1200809	SLC7A7
NANDO:2200652	BRCA1
NANDO:2200652	BRCA2
NANDO:2200652	BRIP1
NANDO:2200652	ERCC4
NANDO:2200652	FANCA
NANDO:2200652	FANCB
NANDO:2200652	FANCC
NANDO:2200652	FANCD2
NANDO:2200652	FANCE
NANDO:2200652	FANCF
NANDO:2200652	FANCG
NANDO:2200652	FANCI
NANDO:2200652	FANCL
NANDO:2200652	FANCM
NANDO:2200652	MAD2L2
NANDO:2200652	PALB2
NANDO:2200652	RAD51
NANDO:2200652	RAD51C
NANDO:2200652	RFWD3
NANDO:2200652	SLX4
NANDO:2200652	UBE2T
NANDO:2200652	XRCC2
NANDO:2200719	IGHG2
NANDO:2200719	IGKC
NANDO:1200296	IFNG
NANDO:1200296	NBN
NANDO:1200296	PRF1
NANDO:1200296	SBDS
NANDO:1200296	TERC
NANDO:1200296	TERT
NANDO:2200656	GP1BA
NANDO:2200656	GP1BB
NANDO:2200656	GP9
NANDO:2200657	ITGA2B
NANDO:2200657	ITGB3
NANDO:2200654	MYH9
NANDO:2200655	CALR
NANDO:2200655	JAK2
NANDO:2200655	MPL
NANDO:2200655	SH2B3
NANDO:2200655	TET2
NANDO:2200655	TP53
NANDO:2200712	ARVCF
NANDO:2200712	COMT
NANDO:2200712	DGCR2
NANDO:2200712	DGCR6
NANDO:2200712	DGCR8
NANDO:2200712	ESS2
NANDO:2200712	GP1BB
NANDO:2200712	HIRA
NANDO:2200712	JMJD1C
NANDO:2200712	RREB1
NANDO:2200712	SEC24C
NANDO:2200712	TBX1
NANDO:2200712	UFD1
NANDO:2200711	SMARCAL1
NANDO:2200710	RNF168
NANDO:2200717	CD19
NANDO:2200717	CD81
NANDO:2200717	CR2
NANDO:2200717	ICOS
NANDO:2200717	MS4A1
NANDO:2200717	NFKB1
NANDO:2200717	NFKB2
NANDO:2200717	PRKCD
NANDO:2200717	TNFRSF13B
NANDO:2200717	TNFRSF13C
NANDO:2200717	TNFSF12
NANDO:2200716	BTK
NANDO:2200715	CTC1
NANDO:2200715	DKC1
NANDO:2200715	NHP2
NANDO:2200715	NOP10
NANDO:2200715	NPM1
NANDO:2200715	PARN
NANDO:2200715	RTEL1
NANDO:2200715	TERC
NANDO:2200715	TINF2
NANDO:2200715	USB1
NANDO:2200715	WRAP53
NANDO:1200213	SAA1
NANDO:2200511	SLC25A20
NANDO:1200513	HPCA
NANDO:1200459	ACTG2
NANDO:1200459	LMOD1
NANDO:1200459	MYH11
NANDO:1200459	MYLK
NANDO:2201304	ERF
NANDO:1200516	GCH1
NANDO:2201302	ALX4
NANDO:2201302	ERF
NANDO:2201302	TWIST1
NANDO:2201301	SLC6A8
NANDO:2201300	GAMT
NANDO:1200591	CHD2
NANDO:1200591	CUX2
NANDO:1200591	DNM1
NANDO:1200591	GABRB3
NANDO:1200591	MAPK10
NANDO:1200591	SCN1A
NANDO:1200519	PNKD
NANDO:1200519	PRRT2
NANDO:1200893	MYH9
NANDO:1200891	BRCA1
NANDO:1200891	BRCA2
NANDO:1200891	BRIP1
NANDO:1200891	ERCC4
NANDO:1200891	FANCA
NANDO:1200891	FANCB
NANDO:1200891	FANCC
NANDO:1200891	FANCD2
NANDO:1200891	FANCE
NANDO:1200891	FANCF
NANDO:1200891	FANCG
NANDO:1200891	FANCI
NANDO:1200891	FANCL
NANDO:1200891	FANCM
NANDO:1200891	MAD2L2
NANDO:1200891	PALB2
NANDO:1200891	RAD51
NANDO:1200891	RAD51C
NANDO:1200891	RFWD3
NANDO:1200891	SLX4
NANDO:1200891	UBE2T
NANDO:1200891	XRCC2
NANDO:1200890	ADA2
NANDO:1200890	GATA1
NANDO:1200890	RPL11
NANDO:1200890	RPL15
NANDO:1200890	RPL18
NANDO:1200890	RPL26
NANDO:1200890	RPL27
NANDO:1200890	RPL31
NANDO:1200890	RPL35
NANDO:1200890	RPL35A
NANDO:1200890	RPL5
NANDO:1200890	RPS10
NANDO:1200890	RPS15A
NANDO:1200890	RPS17
NANDO:1200890	RPS19
NANDO:1200890	RPS24
NANDO:1200890	RPS26
NANDO:1200890	RPS27
NANDO:1200890	RPS28
NANDO:1200890	RPS29
NANDO:1200890	RPS7
NANDO:1200890	TSR2
NANDO:2200217	PRKAG2
NANDO:1200191	PRNP
NANDO:2201084	NAGS
NANDO:2200515	HADHA
NANDO:2200515	HADHB
NANDO:2201086	NAGS
NANDO:2201080	BCKDHA
NANDO:2201080	BCKDHB
NANDO:2201080	DBT
NANDO:2201081	BCKDHA
NANDO:2201081	BCKDHB
NANDO:2201081	DBT
NANDO:2201083	CBS
NANDO:2201088	CPS1
NANDO:2201089	CPS1
NANDO:2200884	TOR1A
NANDO:2200878	ARX
NANDO:2200878	CDKL5
NANDO:2200878	CNPY3
NANDO:2200878	GRIN2B
NANDO:2200878	GUF1
NANDO:2200878	NTRK2
NANDO:2200878	PHACTR1
NANDO:2200878	PIGA
NANDO:2200878	PLCB1
NANDO:2200878	SCN2A
NANDO:2200878	SIK1
NANDO:2200878	SPTAN1
NANDO:2200878	ST3GAL3
NANDO:2200878	STXBP1
NANDO:2200878	WDR45
NANDO:2200879	CHD2
NANDO:2200879	CUX2
NANDO:2200879	DNM1
NANDO:2200879	GABRB3
NANDO:2200879	MAPK10
NANDO:2200879	SCN1A
NANDO:1200258	PTPN22
NANDO:1200493	PABPN1
NANDO:2200870	RYR1
NANDO:2201174	SGSH
NANDO:2200876	HSPG2
NANDO:2200875	FHL1
NANDO:2200973	GJA1
NANDO:2200972	CHD7
NANDO:2200972	SEMA3E
NANDO:2201158	AGL
NANDO:2201159	GBE1
NANDO:2200977	ARID1A
NANDO:2200977	ARID1B
NANDO:2200977	ARID2
NANDO:2200977	DPF2
NANDO:2200977	SMARCA4
NANDO:2200977	SMARCB1
NANDO:2200977	SMARCC2
NANDO:2200977	SMARCD1
NANDO:2200977	SMARCE1
NANDO:2200977	SOX11
NANDO:2200977	SOX4
NANDO:1200491	DNMT3B
NANDO:1200491	DUX4
NANDO:1200491	DUX4L1
NANDO:1200491	FRG1
NANDO:1200491	SMCHD1
NANDO:2200975	FGFR2
NANDO:2200974	IKBKG
NANDO:2201152	GYS1
NANDO:2201153	G6PC1
NANDO:2200979	DHCR7
NANDO:2200978	GPC3
NANDO:2200978	GPC4
NANDO:2201156	AGL
NANDO:2201157	AGL
NANDO:2201154	SLC37A4
NANDO:2201155	AGL
NANDO:2201012	ALPL
NANDO:2201010	FGFR3
NANDO:2200929	GPR35
NANDO:2200929	MST1
NANDO:2200929	TCF4
NANDO:2201016	COL11A1
NANDO:2201016	COL11A2
NANDO:2201016	COL9A1
NANDO:2201016	COL9A2
NANDO:2201016	COL9A3
NANDO:2201015	EXT1
NANDO:2201015	EXT2
NANDO:2201015	IDH1
NANDO:2201015	IDH2
NANDO:2201015	PTH1R
NANDO:2201014	EXT1
NANDO:2201014	EXT2
NANDO:1200967	LMX1B
NANDO:2201019	FLNB
NANDO:2201018	COMP
NANDO:1200961	DHCR7
NANDO:1200960	HDAC8
NANDO:1200960	KMT2A
NANDO:1200960	NIPBL
NANDO:1200960	RAD21
NANDO:1200960	SETD5
NANDO:1200960	SMC1A
NANDO:1200960	SMC3
NANDO:2200375	POR
NANDO:2201233	LIPA
NANDO:1200633	HLA-DQB1
NANDO:1200633	HLA-DRB1
NANDO:1200631	ATP2C1
NANDO:2200372	CYP11B1
NANDO:2201169	IDUA
NANDO:2200971	HRAS
NANDO:1200639	LYST
NANDO:1200068	GLB1
NANDO:1200069	GLB1
NANDO:1200712	COL4A5
NANDO:1200062	SMPD1
NANDO:2200881	EPM2A
NANDO:2200881	NHLRC1
NANDO:1200713	LAGE3
NANDO:1200713	NUP107
NANDO:1200713	NUP133
NANDO:1200713	OSGEP
NANDO:1200713	TP53RK
NANDO:1200713	TPRKB
NANDO:1200713	WDR4
NANDO:1200713	WDR73
NANDO:1200066	GLB1
NANDO:1200067	GLB1
NANDO:2200976	FGFR1
NANDO:2200976	FGFR2
NANDO:1200343	BTK
NANDO:1200342	CTC1
NANDO:1200342	DKC1
NANDO:1200342	NHP2
NANDO:1200342	NOP10
NANDO:1200342	NPM1
NANDO:1200342	PARN
NANDO:1200342	RTEL1
NANDO:1200342	TERC
NANDO:1200342	TINF2
NANDO:1200342	USB1
NANDO:1200342	WRAP53
NANDO:1200341	SP110
NANDO:1200208	PDGFB
NANDO:1200208	PDGFRB
NANDO:1200208	SLC20A2
NANDO:2201279	CYBB
NANDO:1200344	CD19
NANDO:1200344	CD81
NANDO:1200344	CR2
NANDO:1200344	ICOS
NANDO:1200344	MS4A1
NANDO:1200344	NFKB1
NANDO:1200344	NFKB2
NANDO:1200344	PRKCD
NANDO:1200344	TNFRSF13B
NANDO:1200344	TNFRSF13C
NANDO:1200344	TNFSF12
NANDO:2200444	SH3BP2
NANDO:2201276	IFNG
NANDO:2201276	NBN
NANDO:2201276	PRF1
NANDO:2201276	SBDS
NANDO:2201276	TERC
NANDO:2201276	TERT
NANDO:2201274	HBB
NANDO:2201273	HBA1
NANDO:2201273	HBA2
NANDO:2201273	HBB
NANDO:1200083	SUMF1
NANDO:2201270	UROD
NANDO:2201052	RET
NANDO:2201297	POLR3A
NANDO:2201297	POLR3B
NANDO:1200207	JAM2
NANDO:1200207	MYORG
NANDO:1200207	PDGFB
NANDO:1200207	PDGFRB
NANDO:1200207	SLC20A2
NANDO:1200207	XPR1
NANDO:2200110	NPHS1
NANDO:2201151	GYS2
NANDO:2200970	TGFB1
NANDO:2200117	LAMB2
NANDO:2200116	WT1
NANDO:2200119	LAMA3
NANDO:2200119	LAMB3
NANDO:2200119	LAMC2
NANDO:1200512	TOR1A
NANDO:2201170	IDUA
NANDO:1200819	UROD
NANDO:1200951	EIF2B1
NANDO:1200951	EIF2B2
NANDO:1200951	EIF2B3
NANDO:1200951	EIF2B4
NANDO:1200951	EIF2B5
NANDO:2200285	ELN
NANDO:1200705	GJA1
NANDO:2200286	BAZ1B
NANDO:2200286	CLIP2
NANDO:2200286	ELN
NANDO:2200286	GTF2I
NANDO:2200286	GTF2IRD1
NANDO:2200286	LIMK1
NANDO:2200286	MLXIPL
NANDO:2200286	RFC2
NANDO:2200286	TBL2
NANDO:1200709	CITED2
NANDO:1200709	FLT4
NANDO:1200709	GATA4
NANDO:1200709	GATA5
NANDO:1200709	GATA6
NANDO:1200709	GDF1
NANDO:1200709	GJA5
NANDO:1200709	JAG1
NANDO:1200709	NKX2-5
NANDO:1200709	NKX2-6
NANDO:1200709	TBX1
NANDO:1200709	ZFPM2
NANDO:1200669	FGFR2
NANDO:1200117	NEU1
NANDO:1200115	HYAL1
NANDO:1200112	GUSB
NANDO:1200630	EBP
NANDO:1200110	ARSB
NANDO:1200111	GUSB
NANDO:1200955	EPM2A
NANDO:1200955	NHLRC1
NANDO:1200118	NEU1
NANDO:1200119	CTSA
NANDO:2200577	PEX7
NANDO:2200577	PHYH
NANDO:2200770	IFNAR2
NANDO:2200770	STAT2
NANDO:2200573	CLN6
NANDO:2200573	CLN8
NANDO:2200573	CTSD
NANDO:2200573	MFSD8
NANDO:2200573	TPP1
NANDO:2200571	CTNS
NANDO:2200570	LIPA
NANDO:1200536	PANK2
NANDO:2200275	GATA6
NANDO:2200275	NKX2-5
NANDO:2200275	NKX2-6
NANDO:2200275	TBX1
NANDO:2200611	SERPINA1
NANDO:2200579	ATP7B
NANDO:2200495	MCCC1
NANDO:2200495	MCCC2
NANDO:2200696	ADA
NANDO:2200697	ADA
NANDO:2200697	CHD7
NANDO:2200697	DCLRE1C
NANDO:2200697	IL2RG
NANDO:2200697	IL7R
NANDO:2200697	LIG4
NANDO:2200697	RAG1
NANDO:2200697	RAG2
NANDO:2200697	RMRP
NANDO:2200694	IL2RG
NANDO:2200695	AK2
NANDO:1200122	CTSA
NANDO:2200757	CYBA
NANDO:2200757	CYBB
NANDO:2200757	CYBC1
NANDO:2200757	NCF1
NANDO:2200757	NCF2
NANDO:2200757	NCF4
NANDO:2200756	DNAJC21
NANDO:2200756	EFL1
NANDO:2200756	SBDS
NANDO:2200756	SRP54
NANDO:1200136	NAGA
NANDO:2200026	BCL2
NANDO:2200026	BCL6
NANDO:2200026	HLA-DRB1
NANDO:2200026	IGH
NANDO:2200753	WAS
NANDO:2200752	LAMTOR2
NANDO:2200698	PNP
NANDO:2200022	ABL1
NANDO:2200022	AFF1
NANDO:2200022	AUTS2
NANDO:2200022	BCR
NANDO:2200022	CDKN2A
NANDO:2200022	ETV6
NANDO:2200022	FLT3
NANDO:2200022	FOXP1
